# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	745395
#@/user_id	609eb46f-9fbb-457e-a6d7-e0f6bbed9cc1
a 	啊	c=55 d=0.1 t=726491
zhong mei you 	中沒有	c=1 d=1 t=310337
zhong mian 	終面	c=3 d=1 t=236174
zhong peng 	中鵬	c=3 d=1.01284 t=568250
zhong qi 	中期	c=7 d=1 t=650625
zhong qiu 	中秋	c=4 d=1 t=257873
zhong qu 	中去	c=1 d=1 t=126158
zhong ruan 	中軟	c=1 d=1 t=652099
zhong shi 	忠實	c=1 d=1 t=298498
zhong shi 	重視	c=20 d=1 t=631794
zhong shi hua 	中石化	c=1 d=1 t=591617
zhong shi you 	中石油	c=1 d=1 t=591616
zhong shou yi 	中受益	c=1 d=1 t=272472
zhong tai 	中臺	c=217 d=2.1482 t=743564
zhong tai fu wu de 	中臺服務的	c=1 d=1 t=276336
zhong tai hua 	中臺話	c=1 d=1 t=352904
zhong tai xi tong 	中臺系統	c=1 d=1 t=213497
zhong tai xing 	中臺性	c=1 d=1 t=484483
zhong tu 	中途	c=1 d=1 t=183122
zhong wei 	中衛	c=0 d=0.1 t=143530
zhong wei tong 	中衛通	c=2 d=1.86936 t=143559
zhong wen 	中文	c=66 d=1 t=725484
zhong wen ban 	中文版	c=1 d=1 t=261687
zhong wen ming 	中文名	c=2 d=1 t=630484
zhong wu 	中午	c=123 d=1 t=731334
zhong wu ba 	中午吧	c=1 d=1 t=330401
zhong xian 	中縣	c=1 d=1 t=446557
zhong xiao 	中小	c=2 d=1 t=310035
zhong xiao xing 	中小型	c=1 d=1 t=145468
zhong xiao xue 	中小學	c=1 d=1 t=202397
zhong xin 	中心	c=132 d=1 t=744460
zhong xin 	重心	c=66 d=1 t=742403
zhong xin hua 	中心化	c=1 d=1 t=299417
zhong xin ji fang 	中心機房	c=1 d=1 t=718004
zhong xing 	中性	c=2 d=1 t=526290
zhong xing 	重型	c=1 d=1 t=214499
zhong xu 	終須	c=0 d=0.1 t=376336
zhong xue 	中學	c=4 d=1 t=496324
zhong xun 	中旬	c=12 d=1 t=695974
zhong yang 	中央	c=1 d=1 t=480715
zhong yao 	中藥	c=0 d=0.1 t=540733
zhong yao 	重要	c=168 d=1 t=745197
zhong yao xing 	重要性	c=12 d=1 t=723513
zhong yin 	重音	c=1 d=1 t=116890
zhong ying wen 	中英文	c=12 d=1 t=570900
zhong you 	中有	c=1 d=1 t=440304
zhong yu 	終於	c=50 d=1 t=731565
zhong yu lai le 	終於來了	c=1 d=1 t=695913
zhong zai qu 	重災區	c=1 d=1 t=389701
zhong zhao 	中招	c=7 d=1.92774 t=700896
zhong zhi 	中止	c=2 d=1 t=541884
zhong zhi 	終止	c=4 d=1 t=635523
zhong zhong 	種種	c=1 d=0.1 t=658220
zhong zhong xian zhi 	種種限制	c=1 d=1 t=658221
zhong zhuan 	中轉	c=15 d=1 t=647915
zhong zi 	種子	c=0 d=0.1 t=372876
zhong zi yong hu 	種子用戶	c=1 d=1 t=372877
zhong zu qi shi 	種族歧視	c=1 d=1 t=428827
zhou 	周	c=174 d=1 t=727349
zhou 	州	c=2 d=1 t=654067
zhou 	洲	c=11 d=1 t=739916
zhou 	舟	c=1 d=1 t=394727
zhou bao 	週報	c=17 d=1 t=734134
zhou bian 	週邊	c=8 d=1 t=582995
zhou bo 	周波	c=1 d=1 t=413168
zhou er 	週二	c=94 d=1 t=736245
zhou hao 	周好	c=1 d=1 t=1275
zhou hao 	周昊	c=173 d=1 t=313547
zhou hui 	週會	c=26 d=1.39354 t=731561
zhou huo yue 	周活躍	c=1 d=1 t=54736
zhou ji 	週記	c=3 d=1 t=375969
zhou jiao 	周角	c=1 d=1 t=736883
zhou jie lun 	周杰倫	c=2 d=1 t=678778
zhou kan 	週刊	c=3 d=1 t=280987
zhou li 	州立	c=1 d=1 t=230904
zhou liu 	週六	c=58 d=3.3699 t=742004
zhou me 	周麼	c=1 d=1 t=294700
zhou mo 	週末	c=104 d=1.83946 t=741927
zhou mo kan dao 	週末看到	c=1 d=1 t=135613
zhou nian 	週年	c=6 d=1.00493 t=514439
zhou peng 	周鹏	c=1 d=1 t=49458
zhou qi 	週期	c=124 d=1 t=742629
zhou qi nei 	週期內	c=1 d=1 t=395279
zhou qi xing 	週期性	c=2 d=1 t=413456
zhou qian 	周乾	c=2 d=1 t=424772
zhou quan 	周全	c=5 d=1 t=693902
zhou ri 	週日	c=109 d=1 t=741947
zhou ru 	周如	c=1 d=1 t=67094
zhou san 	週三	c=164 d=1 t=733184
zhou san ba 	週三吧	c=1 d=1 t=472359
zhou san ke yi 	週三可以	c=1 d=1 t=331552
zhou si 	週四	c=154 d=1 t=719748
zhou tao 	周濤	c=1 d=1 t=42530
zhou wei 	周偉	c=8 d=1 t=577544
zhou wei 	周圍	c=1 d=1 t=83398
zhou wu 	週五	c=196 d=1 t=744204
zhou xiao 	周曉	c=4 d=1 t=401500
zhou xu 	周徐	c=1 d=1 t=136852
zhou xu 	周恤	c=1 d=1 t=136851
zhou yi 	週一	c=131 d=1 t=742146
zhou yi ba 	週一吧	c=1 d=1 t=355350
zhou zhi 	周知	c=2 d=1 t=541234
zhou zhou 	洲洲	c=1 d=1 t=707418
zhou zhuan 	週轉	c=4 d=1.012 t=460304
zhu 	主	c=32 d=1.44043 t=710405
zhu 	住	c=30 d=1 t=700108
zhu 	朱	c=13 d=1 t=732312
zhu 	柱	c=2 d=1 t=372045
zhu 	祝	c=11 d=1 t=495465
zhu 	諸	c=1 d=1 t=610162
zhu 	豬	c=16 d=1.99005 t=655907
zhu ban fang 	主辦方	c=4 d=1 t=535475
zhu ban quan 	主辦權	c=1 d=1 t=706141
zhu bu 	逐步	c=54 d=1 t=727184
zhu bu lai 	逐步來	c=2 d=1 t=275305
zhu bu shou jin 	逐步收緊	c=1 d=1 t=480824
zhu ce 	註冊	c=69 d=2.23625 t=677559
zhu ceng 	逐層	c=1 d=1 t=401460
zhu chang 	主場	c=1 d=1 t=1452
zhu chang 	駐場	c=4 d=1 t=480504
zhu chi 	主持	c=12 d=1.61878 t=599086
zhu chi ren 	主持人	c=4 d=1 t=578419
zhu cong 	主從	c=1 d=1 t=114089
zhu da 	主打	c=8 d=1 t=600910
zhu da 	祝達	c=4 d=1.91393 t=145026
zhu dao 	主導	c=34 d=1 t=730752
zhu dao 	住到	c=1 d=1 t=567771
zhu dao quan 	主導權	c=2 d=1 t=366724
zhu ding 	註定	c=1 d=1 t=454738
zhu dong 	主動	c=229 d=1 t=742658
zhu dong de 	主動的	c=1 d=1 t=444954
zhu dong fa 	主動發	c=1 d=1 t=148726
zhu dong fa qi 	主動發起	c=1 d=1 t=425626
zhu dong gou tong 	主動溝通	c=1 d=1 t=240933
zhu dong ping gu 	主動評估	c=3 d=1.05698 t=592396
zhu dong qu 	主動去	c=1 d=1 t=342058
zhu dong shi 	主動式	c=1 d=1 t=369987
zhu dong tui dong 	主動推動	c=1 d=1 t=237327
zhu dong xing 	主動性	c=50 d=1 t=725723
zhu dong zhao 	主動找	c=1 d=1 t=208624
zhu duo 	諸多	c=3 d=1.92312 t=571752
zhu fang 	住房	c=4 d=1.99005 t=732708
zhu fu 	囑咐	c=1 d=1 t=280173
zhu gan 	主幹	c=16 d=1.00004 t=703869
zhu gang 	鑄鋼	c=2 d=1 t=630141
zhu gao 	祝告	c=1 d=1 t=425594
zhu ge 	逐個	c=5 d=1 t=586231
zhu gong 	助攻	c=1 d=1 t=105662
zhu guan 	主管	c=3 d=1 t=737159
zhu guan 	主觀	c=9 d=1 t=630142
zhu hang dao 	主航道	c=1 d=1 t=653866
zhu jian 	逐漸	c=42 d=1 t=681198
zhu jiang 	主講	c=4 d=1 t=349360
zhu jiao 	助教	c=8 d=1 t=170160
zhu jiao ao 	住驕傲	c=1 d=1 t=4581
zhu jie 	註解	c=1 d=1 t=561445
zhu li 	主力	c=2 d=1 t=663189
zhu li 	助力	c=3 d=1 t=369876
zhu li 	助理	c=71 d=5.00982 t=716993
zhu liu 	主流	c=10 d=1 t=726579
zhu lu jing 	主路徑	c=2 d=1 t=713517
zhu ming 	註明	c=4 d=1 t=296627
zhu quan 	主權	c=0 d=0.1 t=238106
zhu quan ni 	主權你	c=3 d=1 t=564367
zhu ren 	主任	c=0 d=0.1 t=538758
zhu ren weng 	主人翁	c=1 d=1 t=661133
zhu ren yi shi 	主任醫師	c=1 d=1 t=428768
zhu rong 	祝融	c=2 d=1 t=111411
zhu ru 	注入	c=15 d=2.65301 t=635338
zhu ru dao 	注入到	c=1 d=1 t=29432
zhu san jiao 	珠三角	c=1 d=1 t=432705
zhu shi 	註釋	c=70 d=1.00006 t=742984
zhu shi diao 	住失調	c=2 d=1 t=357536
zhu shou 	助手	c=3 d=1 t=745358
zhu su 	住宿	c=5 d=1 t=679677
zhu su fei 	住宿費	c=4 d=1 t=732839
zhu suo 	住所	c=2 d=1.74453 t=503911
zhu ti 	主題	c=66 d=1 t=741632
zhu ti 	主體	c=9 d=1 t=706446
zhu tui 	主推	c=2 d=1 t=528623
zhu wen jian 	主文件	c=1 d=1 t=330573
zhu xi 	主席	c=6 d=1 t=678587
zhu xian 	主線	c=6 d=2.90268 t=726354
zhu xiao 	註銷	c=1 d=1 t=624279
zhu xu yao 	主需要	c=1 d=1 t=349445
zhu ya 	蛀牙	c=1 d=1 t=470883
zhu yai 	珠崖	c=1 d=1 t=282888
zhu yao 	主要	c=627 d=1 t=741994
zhu yao dong 	主要動	c=1 d=1 t=170930
zhu yao hai shi 	主要還是	c=1 d=1 t=135505
zhu yao kan 	主要看	c=1 d=1 t=201990
zhu yao shi 	主要是	c=454 d=1.01304 t=740830
zhu yao shi shui 	主要是誰	c=1 d=1 t=478569
zhu yao shi wo 	主要是我	c=1 d=1 t=637446
zhu yao you 	主要由	c=1 d=1 t=89533
zhu ye 	主業	c=1 d=1 t=270018
zhu yi 	主意	c=4 d=1 t=736073
zhu yi 	主義	c=5 d=1 t=607810
zhu yi 	注意	c=109 d=1 t=735728
zhu yi an quan 	注意安全	c=1 d=1 t=575260
zhu yi dao 	注意到	c=16 d=1.85214 t=649554
zhu yi fang hu 	注意防护	c=1 d=1 t=405165
zhu yi li 	注意力	c=1 d=1 t=312772
zhu yi shen ti 	注意身體	c=1 d=1 t=164763
zhu yi shi xiang 	注意事項	c=3 d=1 t=670391
zhu yi zhe 	主義者	c=1 d=1 t=274482
zhu ying 	主營	c=2 d=1.95123 t=226407
zhu ying yong 	主應用	c=1 d=1 t=676660
zhu yo 	住喲	c=2 d=1 t=237918
zhu yu 	主語	c=2 d=1 t=522842
zhu yuan 	住院	c=7 d=1 t=732844
zhu yuan 	祝願	c=1 d=1 t=440220
zhu yuan 	竹園	c=14 d=0.32313 t=733143
zhu yuan xiao xue 	竹園小學	c=1 d=1 t=376426
zhu yuan yi sheng 	竹園醫生	c=2 d=1.00009 t=735003
zhu ze 	主责	c=2 d=1 t=562715
zhu zhan 	主站	c=8 d=1 t=734384
zhu zhang 	主張	c=1 d=1 t=692643
zhu zhong 	注重	c=5 d=1 t=297270
zhu zhua 	主抓	c=1 d=1 t=604683
zhu zhuang 	柱狀	c=0 d=0.1 t=735703
zhu zhuang tu 	柱狀圖	c=1 d=1 t=735704
zhu zui 	住嘴	c=1 d=1 t=281108
zhu zuo 	著作	c=1 d=1 t=140615
zhua 	抓	c=9 d=1.07177 t=735096
zhua bao 	抓包	c=2 d=1 t=214345
zhua bu dao 	抓不到	c=0 d=0.1 t=188905
zhua bu dao ren 	抓不到人	c=1 d=1 t=188906
zhua bu zhu 	抓不住	c=2 d=1 t=323344
zhua dao 	抓到	c=1 d=1 t=50560
zhua fa 	抓發	c=1 d=1 t=249832
zhua gang 	抓剛	c=2 d=1.99501 t=232014
zhua jin 	抓緊	c=12 d=1 t=580173
zhua li 	抓力	c=1 d=1 t=124888
zhua qi 	抓起	c=1 d=1 t=222204
zhua qi lai 	抓起來	c=5 d=1 t=728673
zhua qu 	抓取	c=9 d=1 t=609128
zhua shou 	抓手	c=2 d=1 t=539595
zhua xia 	抓下	c=1 d=1 t=488696
zhua yo shi 	抓喲是	c=1 d=1 t=692375
zhua zhu 	抓住	c=2 d=1 t=635480
zhua zhu ta 	抓住他	c=1 d=1 t=215051
zhua zou 	抓走	c=1 d=1 t=717508
zhuai 	拽	c=2 d=1.00253 t=121865
zhuai zhe 	拽着	c=0 d=0.1 t=210127
zhuan 	專	c=9 d=1 t=691687
zhuan 	磚	c=7 d=1 t=377984
zhuan 	賺	c=1 d=1 t=591653
zhuan 	轉	c=112 d=1.99005 t=718102
zhuan ban 	專版	c=1 d=1 t=508287
zhuan bao 	賺飽	c=1 d=1 t=122877
zhuan bian 	轉變	c=41 d=1 t=734427
zhuan bian cheng 	轉變成	c=1 d=1 t=134405
zhuan chang 	專場	c=19 d=1 t=617696
zhuan chang 	專長	c=1 d=1 t=138576
zhuan cheng 	轉成	c=19 d=1.5627 t=714430
zhuan chu lai 	轉出來	c=1 d=1 t=716891
zhuan chu qu 	轉出去	c=1 d=1 t=291374
zhuan cun 	轉存	c=1 d=1 t=95130
zhuan da 	轉達	c=5 d=1 t=630783
zhuan dao 	轉到	c=61 d=1 t=698681
zhuan fa 	轉發	c=60 d=1 t=731187
zhuan fa gei 	轉發給	c=1 d=1 t=90509
zhuan fa guo 	轉發過	c=1 d=1 t=191918
zhuan fang 	專訪	c=2 d=1.98511 t=178329
zhuan gang 	轉崗	c=351 d=1 t=742537
zhuan gang dao 	轉崗到	c=3 d=1 t=635353
zhuan gang zhi hou 	轉崗之後	c=1 d=1 t=250987
zhuan gao 	轉告	c=2 d=1 t=281797
zhuan gei 	轉給	c=61 d=1.93707 t=736945
zhuan guo 	轉過	c=2 d=1 t=457198
zhuan guo ai 	轉過愛	c=1 d=1 t=27676
zhuan guo lai 	轉過來	c=14 d=1 t=630160
zhuan guo qu 	轉過去	c=7 d=1 t=614360
zhuan han 	專函	c=1 d=1 t=710364
zhuan hang 	轉行	c=6 d=1 t=581128
zhuan hua 	轉化	c=17 d=1 t=695655
zhuan hua cheng 	轉化成	c=2 d=1 t=695814
zhuan hua lv 	轉化率	c=2 d=1 t=512504
zhuan huan 	轉換	c=28 d=1.08716 t=710853
zhuan ji 	轉機	c=12 d=1 t=595841
zhuan jia 	專家	c=39 d=1 t=734711
zhuan jia 	轉嫁	c=1 d=1 t=60009
zhuan jiao 	轉交	c=2 d=1 t=391245
zhuan jin 	轉進	c=0 d=0.1 t=597743
zhuan jin lai 	轉進來	c=1 d=1 t=597744
zhuan lan 	專欄	c=16 d=1 t=297362
zhuan le 	轉了	c=10 d=1 t=472051
zhuan li 	專利	c=66 d=1 t=723881
zhuan men 	專門	c=48 d=1 t=727833
zhuan pan 	轉盤	c=2 d=1 t=466304
zhuan qian 	賺錢	c=6 d=1.54064 t=421269
zhuan quan 	轉圈	c=2 d=1 t=396578
zhuan rang 	轉讓	c=1 d=1 t=269504
zhuan ren 	專人	c=9 d=1 t=733164
zhuan ru 	轉入	c=8 d=1 t=672471
zhuan shu 	專屬	c=5 d=1 t=421600
zhuan ti 	專題	c=9 d=1 t=212686
zhuan xian 	專線	c=1 d=1 t=666843
zhuan xiang 	專項	c=115 d=1.12063 t=734058
zhuan xiang 	轉向	c=4 d=1 t=562581
zhuan xie 	撰寫	c=6 d=1 t=635432
zhuan xin 	專心	c=3 d=1 t=456121
zhuan xing 	轉型	c=14 d=2.28496 t=734661
zhuan ye 	專業	c=104 d=1 t=732973
zhuan ye ban 	專業版	c=1 d=1 t=358853
zhuan ye du 	專業度	c=1 d=1 t=728672
zhuan ye hua 	專業化	c=1 d=1 t=734453
zhuan ye ke 	專業課	c=1 d=1 t=226767
zhuan ye xing 	專業性	c=1 d=1 t=19840
zhuan yi 	專一	c=1 d=1 t=140122
zhuan yi 	轉移	c=14 d=1 t=630814
zhuan yi 	轉義	c=9 d=1 t=630815
zhuan yi dao 	轉移到	c=2 d=1 t=573909
zhuan yong 	專用	c=2 d=1 t=466307
zhuan you 	專有	c=7 d=0.1 t=682377
zhuan you ban 	專有版	c=4 d=1 t=739292
zhuan you yun 	專有雲	c=5 d=1 t=591315
zhuan yun 	轉運	c=2 d=1 t=613419
zhuan zai 	轉載	c=6 d=1 t=695352
zhuan zhang 	轉賬	c=16 d=9.13086 t=732709
zhuan zhe 	轉折	c=1 d=1 t=265036
zhuan zheng 	轉正	c=76 d=1 t=739057
zhuan zhi 	專職	c=19 d=1 t=729693
zhuan zhu 	專注	c=21 d=1 t=728780
zhuan zhu yu 	專注於	c=15 d=1.98511 t=522394
zhuan zhuan 	轉轉	c=1 d=1 t=156793
zhuan zhuang 	轉裝	c=1 d=1 t=677758
zhuan zou 	轉走	c=1 d=1 t=506639
zhuang 	撞	c=1 d=1 t=153144
zhuang 	樁	c=3 d=1 t=575126
zhuang 	莊	c=3 d=1 t=670543
zhuang 	裝	c=19 d=1 t=575125
zhuang bu shang 	裝不上	c=2 d=1 t=97184
zhuang che 	撞車	c=1 d=1 t=439725
zhuang cuo 	裝錯	c=1 d=1 t=165155
zhuang da 	壯大	c=2 d=1 t=651279
zhuang dao 	裝到	c=1 d=1 t=92602
zhuang ding 	壯丁	c=1 d=1 t=306252
zhuang ding 	裝訂	c=1 d=1 t=306251
zhuang gang 	装缸	c=2 d=1 t=517480
zhuang guo qu 	裝過去	c=1 d=1 t=141028
zhuang hao 	裝好	c=2 d=1 t=77177
zhuang huai 	撞壞	c=1 d=1 t=457158
zhuang huang 	裝潢	c=1 d=1 t=618842
zhuang ji 	撞擊	c=1 d=1 t=660078
zhuang kuang 	狀況	c=3 d=1 t=628683
zhuang le 	裝了	c=6 d=1 t=719260
zhuang qi lai 	裝起來	c=2 d=1.04243 t=39025
zhuang shang 	裝上	c=6 d=1 t=697077
zhuang shi 	裝飾	c=3 d=2.91202 t=383189
zhuang tai 	狀態	c=267 d=1.8311 t=742484
zhuang tai ji 	状态机	c=2 d=1 t=604988
zhuang ti 	裝提	c=1 d=1 t=213668
zhuang xiu 	裝修	c=10 d=1 t=618840
zhuang yi ge 	裝一個	c=1 d=1 t=160822
zhuang you 	裝有	c=1 d=1 t=636894
zhuang zuo 	裝作	c=1 d=1 t=309649
zhui bu shang 	追不上	c=1 d=1 t=664550
zhui cha 	追查	c=4 d=1 t=722708
zhui gan 	追趕	c=1 d=1 t=349315
zhui geng 	追更	c=1 d=1 t=672356
zhui hui lai 	追回來	c=1 d=1 t=598850
zhui jia 	追加	c=12 d=1 t=702696
zhui ping 	追平	c=3 d=1 t=719300
zhui qiu 	追求	c=52 d=1.77492 t=692012
zhui sha 	追殺	c=1 d=1 t=472607
zhui shang lai 	追上來	c=1 d=1 t=691378
zhui shu 	贅述	c=4 d=1 t=714635
zhui su 	追溯	c=2 d=0.1 t=369963
zhui wei 	追尾	c=2 d=1 t=399102
zhui wen 	追問	c=10 d=1 t=638322
zhui xun 	追尋	c=1 d=1 t=508321
zhui zhai 	追債	c=1 d=1 t=264879
zhui zhe 	追着	c=1 d=1 t=529500
zhui zi 	錐子	c=1 d=1 t=670499
zhui zong 	追蹤	c=13 d=1 t=724548
zhun 	準	c=13 d=1.96079 t=715113
zhun bei 	準備	c=300 d=1 t=719896
zhun bei guo 	準備過	c=1 d=1 t=507628
zhun bei hao 	準備好	c=13 d=1 t=711762
zhun bei ji tian 	準備幾天	c=1 d=1 t=705380
zhun bei jiang 	準備講	c=1 d=1 t=668784
zhun bei zhe 	準備着	c=1 d=1 t=67340
zhun ce 	準冊	c=1 d=1 t=293139
zhun chu 	準出	c=2 d=1 t=572798
zhun di 	準的	c=1 d=1 t=487049
zhun hao le 	準好了	c=1 d=1 t=707035
zhun que 	準確	c=134 d=1.00134 t=740914
zhun que ba 	準確吧	c=1 d=1 t=220250
zhun que du 	準確度	c=8 d=1 t=742232
zhun que xing 	準確性	c=7 d=1 t=735235
zhun ru 	准入	c=12 d=1 t=625091
zhun shi 	準時	c=1 d=1 t=54330
zhun ze 	準則	c=5 d=1 t=460612
zhuo 	捉	c=1 d=1 t=690131
zhuo 	桌	c=3 d=1 t=636856
zhuo jin jian zhou 	捉襟见肘	c=1 d=1 t=492993
zhuo mian 	桌面	c=8 d=1 t=489662
zhuo mian duan 	桌面端	c=15 d=1 t=427121
zhuo mo 	琢磨	c=1 d=1 t=581387
zhuo mo bu tou 	琢磨不透	c=1 d=1 t=477078
zhuo yue 	卓越	c=7 d=1 t=726737
zhuo zhong 	着重	c=2 d=1 t=694339
zhuo zhuang 	着裝	c=1 d=1 t=74693
zhuo zi 	桌子	c=10 d=1 t=636847
zhuo zi shang 	桌子上	c=2 d=1 t=367687
zi 	子	c=90 d=1 t=699253
zi 	字	c=14 d=1.99005 t=681895
zi 	紫	c=1 d=1 t=655932
zi 	自	c=14 d=1 t=621594
zi 	資	c=1 d=1 t=473550
zi a 	子啊	c=5 d=1 t=739687
zi an 	紫黯	c=0 d=0.1 t=730030
zi an zai 	紫黯在	c=1 d=1 t=730031
zi ben 	資本	c=1 d=1 t=167906
zi ben jia 	資本家	c=2 d=1 t=613218
zi bu men 	子部門	c=1 d=1 t=530912
zi ce 	自測	c=4 d=1 t=321054
zi chan 	資產	c=9 d=1 t=594277
zi chan pin 	子產品	c=3 d=1 t=493364
zi chao 	自嘲	c=2 d=1 t=714800
zi cheng 	自稱	c=3 d=1.97531 t=304285
zi chi 	自持	c=8 d=1 t=665432
zi chi 	資持	c=1 d=1 t=597922
zi chu 	自處	c=1 d=1 t=594821
zi chuang 	自創	c=1 d=1 t=10594
zi cong 	自從	c=3 d=1 t=475299
zi dai 	自帶	c=2 d=1 t=404844
zi dan 	子彈	c=1 d=1 t=614087
zi de na ge 	子的那個	c=1 d=1 t=32036
zi de nong hu 	子的農戶	c=1 d=1 t=379357
zi dian 	字典	c=3 d=1 t=609227
zi ding 	自定	c=1 d=0.1 t=145324
zi ding xiang xia 	自顶向下	c=2 d=1 t=367034
zi ding yi 	自定義	c=184 d=1.01271 t=743867
zi ding yi zu jian 	自定義組件	c=1 d=1 t=676724
zi ding yu 	自定於	c=5 d=1 t=694183
zi dong 	自動	c=402 d=1.71283 t=744805
zi dong bei 	自動被	c=1 d=1 t=717198
zi dong chu shi hua 	自動初始化	c=1 d=1 t=261667
zi dong chuang jian 	自動創建	c=1 d=1 t=43523
zi dong hu 	自動戶	c=1 d=1 t=331152
zi dong hua 	自動化	c=114 d=1 t=705654
zi dong jia shi 	自動駕駛	c=1 d=1 t=15911
zi dong qian yi 	自動遷移	c=1 d=1 t=662322
zi dong shen pi 	自動審批	c=1 d=1 t=579257
zi dong sheng cheng 	自動生成	c=1 d=1 t=92788
zi dong yi 	自動一	c=2 d=1 t=642752
zi duan 	字段	c=61 d=1.00074 t=740434
zi e ge 	子哦個	c=1 d=1 t=647570
zi fa 	自發	c=1 d=1 t=417649
zi fang xiang 	子方向	c=10 d=1 t=471558
zi fei 	自費	c=5 d=1 t=624320
zi fei 	資費	c=1 d=1 t=266867
zi fu 	字符	c=7 d=1.00001 t=740059
zi fu 	自負	c=1 d=1 t=13107
zi fu chuan 	字符串	c=16 d=1 t=723772
zi ge 	資格	c=5 d=1.9802 t=480354
zi hai 	自嗨	c=1 d=1 t=428594
zi hao 	字號	c=4 d=1 t=685144
zi hao 	自豪	c=2 d=1 t=289131
zi hao chi 	自豪池	c=4 d=1 t=653850
zi hao hua 	自豪話	c=8 d=1 t=611812
zi hao you 	自豪有	c=1 d=1 t=134476
zi huan jie 	自環節	c=1 d=1 t=82762
zi hui fu 	子回覆	c=1 d=1 t=282885
zi hui qu 	子回去	c=5 d=1 t=731091
zi ji 	子集	c=7 d=1 t=656448
zi ji 	自己	c=1930 d=1.14026 t=745279
zi ji de 	自己的	c=8 d=1 t=639841
zi ji ding yi 	自己定義	c=1 d=1 t=519382
zi ji e yun 	自己餓雲	c=1 d=1 t=79049
zi ji er 	自己兒	c=2 d=1 t=577432
zi ji fa qi 	自己發起	c=1 d=1 t=293758
zi ji gao 	自己搞	c=13 d=1 t=533937
zi ji kan 	自己看	c=3 d=1 t=497002
zi ji lian 	自己臉	c=1 d=1 t=36907
zi ji mei you 	自己沒有	c=1 d=1 t=174115
zi ji ren 	自己人	c=1 d=1 t=57993
zi ji shang 	自己上	c=1 d=1 t=174555
zi ji yong 	自己用	c=2 d=1 t=706671
zi ji zui 	自己最	c=1 d=1 t=336947
zi jia 	自駕	c=2 d=1.94176 t=614114
zi jian 	自建	c=16 d=1 t=736197
zi jian 	自檢	c=1 d=1 t=721625
zi jian 	自薦	c=1 d=1 t=193919
zi jie 	字節	c=619 d=2.79259 t=738112
zi jie fan 	字節飯	c=6 d=1 t=598718
zi jie ma 	字节码	c=6 d=1 t=744278
zi jie yong 	字節用	c=1 d=1 t=577281
zi jie yun 	字節雲	c=29 d=2.42021 t=608469
zi jin 	紫金	c=6 d=1 t=620221
zi jin 	資金	c=9 d=1 t=623694
zi jue 	自覺	c=2 d=1 t=288586
zi jue xing 	自覺性	c=1 d=1 t=317134
zi kao 	自考	c=1 d=1 t=238362
zi lei 	子類	c=1 d=1 t=499775
zi li 	資歷	c=8 d=1 t=689814
zi liao 	資料	c=57 d=1 t=717765
zi long 	子龍	c=1 d=1 t=651744
zi lu jing 	子路徑	c=1 d=1 t=61970
zi lv 	自律	c=2 d=1.03439 t=469314
zi mian 	字面	c=5 d=1.98511 t=597468
zi mo kuai 	子模塊	c=1 d=1 t=511223
zi mu 	字幕	c=4 d=1 t=718159
zi mu 	字母	c=3 d=1 t=718160
zi mu lu 	子目錄	c=5 d=1 t=697774
zi nv 	子女	c=2 d=1.72979 t=418190
zi pin pai 	子品牌	c=1 d=1 t=182285
zi ping 	自評	c=24 d=1 t=634693
zi ping tai 	子平臺	c=1 d=1 t=556194
zi qian 	資淺	c=9 d=1 t=643680
zi qiang 	自強	c=4 d=1 t=744321
zi qu 	自取	c=0 d=0.1 t=413922
zi qu dong 	字驱动	c=1 d=1 t=146215
zi qu xing 	自取性	c=1 d=1 t=413923
zi ran 	自然	c=24 d=1 t=719412
zi ran er ran 	自然而然	c=1 d=1 t=198740
zi ran nian 	自然年	c=1 d=1 t=245842
zi ran ri 	自然日	c=1 d=1 t=712539
zi ren 	自認	c=1 d=1 t=297199
zi ren wei 	自認爲	c=2 d=1 t=557185
zi se 	紫色	c=1 d=1 t=555266
zi shang 	自上	c=1 d=1 t=487586
zi shang 	自傷	c=1 d=1 t=349381
zi shang er xia 	自上而下	c=12 d=1 t=696164
zi shen 	自身	c=126 d=1 t=729595
zi shen 	資深	c=49 d=1 t=726527
zi shen ma 	自身嗎	c=1 d=1 t=319164
zi shi 	姿勢	c=24 d=1 t=686900
zi shi ying 	自適應	c=7 d=1.2298 t=694599
zi shi zhi zhong 	自始至終	c=2 d=1 t=677421
zi shu 	字數	c=7 d=1 t=358859
zi tan bu ru 	自嘆不如	c=1 d=1 t=88281
zi ti 	字體	c=55 d=1 t=656438
zi ti cai jian 	字體裁剪	c=1 d=1 t=203343
zi ti ku 	字體庫	c=2 d=1 t=240614
zi tu 	字圖	c=1 d=1 t=150125
zi tuan 	子團	c=1 d=1 t=626340
zi wen zi da 	自問自答	c=1 d=1 t=369547
zi wo 	自我	c=101 d=1 t=738035
zi xi 	仔細	c=17 d=1 t=706625
zi xi kan 	仔細看	c=2 d=1 t=507138
zi xi tong 	子系統	c=2 d=1 t=446445
zi xia er shang 	自下而上	c=2 d=1.22425 t=206207
zi xiang mao dun 	自相矛盾	c=2 d=1 t=168402
zi xiang mu 	子項目	c=2 d=1 t=634504
zi xin 	自信	c=7 d=1 t=530673
zi xing 	自行	c=14 d=1 t=731236
zi xing che 	自行車	c=5 d=1.97531 t=582095
